OBJECTID,polygon,Name,Address,MapBlockLot,MBL_Unique,Date,Retrofit_Date,Description,Height_ft,Stories_Above_Grade,Stories_Below_Grade,Occupancy,Structural_Material,Structural_System,Structural_Types,Facade_Material,Foundation_System,BORP_Report,Instrumented,Square_Footage,Fire_Resistence_Type,Percent_Sprinklered,Liquefaction_Potential,BedrockDepth_MEAN,BedrockDepth_MAX,BedrockDepth_MIN,Permit_Date_1,Permit_Date_2,Permit_Date_3,Completion_Date,Building_Code_Year,Base_Plan_Size,Tower_Plan_Size,Typ_Story_Height,Attyp_Story_Height,Architectural_Notes,Atrium_Location,MEP_levels,Site_Class,Foundation_Info,Collected_on,Primary_Source,Shape_Length,Shape_Area
84,"POLYGON ((-122.402658765348 37.791789473890354, -122.40319668614171 37.79172590804091, -122.40319730699423 37.7917287746867, -122.40327854080346 37.79171659578078, -122.4032179070547 37.791436409129474, -122.40322007019746 37.791436133590864, -122.40320090957928 37.79134485273979, -122.40311565856832 37.79135558059981, -122.4031137479451 37.79135214988421, -122.40304001401864 37.791363787675344, -122.40299104437946 37.79110726321643, -122.40298770985999 37.791107694640054, -122.40296699020806 37.79100577127264, -122.40295844343544 37.790999434003375, -122.40251390698248 37.7910581973046, -122.4025049379303 37.79106281383105, -122.40250492004043 37.791062869093636, -122.40254402177719 37.79124086007695, -122.40254245118224 37.79124440555042, -122.40254242573856 37.79124447625541, -122.4025517549768 37.79128387989159, -122.40257684895668 37.79128068213583, -122.40258100701847 37.79130312910519, -122.40254612158114 37.79130513032911, -122.4025460866364 37.791305229125015, -122.40259039017425 37.79152201621501, -122.40260889001864 37.791532753040315, -122.40264169396602 37.79152703003901, -122.40264515530508 37.791551137464644, -122.40261119044041 37.791555386793085, -122.40261116376917 37.79155545391307, -122.40261595502959 37.79160017491533, -122.40262304022947 37.791605535448525, -122.40262341048421 37.79160549252449, -122.402658765348 37.791789473890354))",Russ Building,235 Montgomery Street,269001,269001,1927,,32 story steel frame with riveted and gusseted moment connections,420,32,1,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Perimeter,Steel Moment Frame,terra-cotta tile and brick,Pile,TRUE,,626000,Type I - Fire resistive,90,Very Low,137,160,128,,,,1927,,,,,,2 story atrium,,,,,2.01712E+13,BORP Reports,947.394449,42929.28625
165,"POLYGON ((-122.41943208701558 37.78072275465951, -122.41881799033088 37.78080131921556, -122.41888376798066 37.78112671781136, -122.41949565897752 37.78104798519666, -122.41943208701558 37.78072275465951))",SF PUC Headquarters,525 Golden Gate Avenue,766001,766001,2012,,Two post-tensioned RC shear wall as the lateral system,187,15,2,"Office (Management, Information, Professional Services)",RC,RC Shear Wall,RC Shear Wall,glass,Mat + Pile,,TRUE,277511,Type I - Fire resistive,100,Moderate,197,217,192,,,,2012,2007,168x116,168x116,"12'4""",,,,,D,,2.01806E+13,Plans at DBI,598.7480516,21519.9011
91,"POLYGON ((-122.45754141316941 37.76338731635793, -122.4576952586985 37.76334269280729, -122.45769580652365 37.76334237278501, -122.45762159632538 37.76317619706977, -122.45765908567722 37.763165637482075, -122.45766955943841 37.76318847634751, -122.45778389204676 37.76315656015069, -122.45777342899949 37.763133827461566, -122.45778086069124 37.76313173754288, -122.45780289037921 37.763181731277214, -122.45789789828522 37.763155336036974, -122.45787577009443 37.76310505285913, -122.45788141114815 37.763103464921194, -122.45789128119088 37.76312497457351, -122.45800560438602 37.763093052907095, -122.45799562370402 37.76307135223916, -122.45804152549476 37.76305844567503, -122.45804200590152 37.763057979871036, -122.4580574586618 37.763053507222416, -122.45812439464129 37.76320286496918, -122.45823048454467 37.76317289764047, -122.45823459308954 37.76318194799493, -122.458245085436 37.7631788717234, -122.4582412976181 37.76316984397873, -122.45834739756849 37.76313987367249, -122.458351467511 37.76314883724547, -122.45836196209362 37.763145760025004, -122.45835820382395 37.76313682011315, -122.45842446357274 37.763118103799194, -122.45846521079 37.763106594001364, -122.45846919753285 37.76311537239898, -122.45847968532128 37.76311229618192, -122.4584760238441 37.76310354031805, -122.4585820728989 37.76307358416117, -122.4585862789751 37.76308284467175, -122.45859677015825 37.76307976838774, -122.45859288700687 37.763070527745754, -122.45869812911279 37.76304079758151, -122.45869862003451 37.763040515450314, -122.4586926872538 37.76302729300448, -122.45862877914293 37.7628847850383, -122.45822876967651 37.76299777357864, -122.45819889808527 37.76293151688432, -122.45822217339024 37.76292484052774, -122.45819879623153 37.76287347775831, -122.45817571936878 37.76288010214746, -122.45817023928919 37.76286794281335, -122.45824825168863 37.76284664128627, -122.45828393219955 37.762865701532895, -122.4582747968044 37.76286831636624, -122.458292572835 37.76291054902536, -122.45830342241575 37.76290651331439, -122.4583181670566 37.76289804734322, -122.45832712087234 37.762887338900256, -122.45833184563436 37.762870975227116, -122.45833049989506 37.76285851108661, -122.45832914317488 37.762854802548695, -122.45833149439945 37.76285412090839, -122.45832591989128 37.76284285896962, -122.45831509932106 37.76283244933474, -122.45829402113841 37.76282178835166, -122.45827936608671 37.762819010926314, -122.45826720098333 37.76281935002943, -122.45816174150892 37.76284909694215, -122.45816051762914 37.76284637934757, -122.45816256842606 37.76284579913311, -122.4581629574121 37.762845310514265, -122.45827930626001 37.76281213375592, -122.45811099460494 37.762437188875154, -122.45799387127913 37.762470335986116, -122.4579883289479 37.76245779375513, -122.45799116999257 37.76245700394828, -122.45799170984316 37.762456683155655, -122.45799010091875 37.76245305270424, -122.45814732676956 37.76240936101134, -122.45819417765576 37.76251408298425, -122.45819525822886 37.76251502483851, -122.45820275511666 37.76253190463727, -122.4582210478971 37.76252678005758, -122.45822569994044 37.76252712273983, -122.45825076380025 37.76252000029281, -122.45826630678835 37.76255280266748, -122.45831077663205 37.76254053892522, -122.45829502548702 37.76250742007896, -122.45855965218927 37.762432206461305, -122.45856015592425 37.76243176460052, -122.45858046577612 37.76242607472253, -122.45858098782485 37.7624257677414, -122.45856427460213 37.7623885841595, -122.458609522894 37.7623758837895, -122.45859302355585 37.76234190412441, -122.45854887946581 37.762354331994025, -122.45844756115855 37.76212892163732, -122.45844569359939 37.76212917437072, -122.45844326057338 37.76212959421467, -122.45843949500502 37.76213066705913, -122.45843572605614 37.76213174086084, -122.45843348575049 37.76213262433801, -122.4583188345388 37.76216495925694, -122.4582888519656 37.762098014084096, -122.45816995088101 37.762131567632075, -122.45816939540885 37.76213189859861, -122.45819920056631 37.76219844750387, -122.45807094417734 37.76223441755502, -122.458071751158 37.76223695281882, -122.45807056688967 37.76223728792237, -122.4581228613974 37.76235456190162, -122.45809611204866 37.7623619953088, -122.4580637775509 37.762291393223705, -122.45802860493657 37.76230140887486, -122.45799918442904 37.762309788763105, -122.45795949016404 37.76232109255957, -122.45795889556828 37.76232144670564, -122.45799086015857 37.76239124025352, -122.45796585868275 37.76239818767261, -122.45795562834755 37.76237502214764, -122.45790801394753 37.76238357897497, -122.4577750731484 37.76208589495362, -122.45775882205716 37.76209047906325, -122.45775397135671 37.76208871392166, -122.45740256036164 37.76218785713722, -122.45740342708945 37.762189817331425, -122.45740379494207 37.7621906376475, -122.45739844475582 37.76219214683274, -122.45739791511696 37.762192467453026, -122.45744384660038 37.762295085291264, -122.4574855287164 37.76238820986519, -122.45753109743372 37.76249001898563, -122.45754472084977 37.76248617610041, -122.45754501736576 37.76248683087385, -122.45770244522431 37.76244295257481, -122.45771681649676 37.76247485342596, -122.45755811147102 37.76252036885457, -122.45754790842528 37.762507065870366, -122.45753458011647 37.762511036335006, -122.45751958784368 37.762477580345575, -122.45751176753527 37.762479783047915, -122.45750849897426 37.7624724914321, -122.45741405032825 37.76249918800933, -122.45743308770547 37.76254187839516, -122.45742702436623 37.76254398251855, -122.45738960992813 37.76246479031575, -122.45725309086784 37.76250361207585, -122.45727709384205 37.76255484386662, -122.45730556819593 37.76254643751638, -122.45730752157958 37.762550604794875, -122.45738645610656 37.76252729500858, -122.4574079405777 37.76257277010536, -122.45750197304201 37.76254475113722, -122.45751278297946 37.7625676871735, -122.45753890458383 37.76256068069371, -122.45754009006963 37.762563191649875, -122.45753857236339 37.76256362511216, -122.45754972736754 37.76258811003056, -122.45758444074642 37.76257836531167, -122.45759468586355 37.7626008889475, -122.457718951971 37.76256518758389, -122.45774797004538 37.762627121867574, -122.4577451259247 37.76262796759557, -122.45776083616293 37.76266148102658, -122.45781055285684 37.76264675288803, -122.45785946297619 37.762753725389466, -122.45788967585702 37.76274477812307, -122.45790782691286 37.7627850543523, -122.45773635172009 37.76283351465835, -122.45779404536233 37.76296229517657, -122.45796992558903 37.762912590922475, -122.45798317170046 37.76294197978787, -122.45774436510534 37.763009126201304, -122.45756849488733 37.76305827659221, -122.4575488170138 37.76301368987022, -122.45747637878634 37.762856359917265, -122.4574687325374 37.762839752022835, -122.45744924959118 37.762792692685736, -122.45743874130545 37.7627950770095, -122.45741657128754 37.762744569137226, -122.45737400422173 37.76264974510565, -122.45732724489727 37.7626629738732, -122.45731622039932 37.762638700358586, -122.45721781869628 37.762666862925514, -122.45720434111648 37.76263673250768, -122.45663996250794 37.76279588858031, -122.45665156999537 37.76283070944517, -122.4566045713279 37.76284266125184, -122.45660256053382 37.76283803709233, -122.45650058479222 37.76281262908816, -122.45647983546371 37.762864959869255, -122.4565477338842 37.76288190148073, -122.45656395022446 37.76292210637922, -122.45658747436251 37.76291612286533, -122.4565991820121 37.762945135468705, -122.45661610039306 37.762940835147795, -122.4566374945124 37.762942078771594, -122.45663558581765 37.76294331359451, -122.45661743066937 37.762948671760896, -122.45667110210634 37.76307329461494, -122.45667566545593 37.763071949932495, -122.45668061334767 37.76308063582699, -122.45675803223736 37.76305871519306, -122.4573209386967 37.762900147206395, -122.45741381723461 37.763101501585, -122.45712085059345 37.763183470998214, -122.45717722016066 37.76331136174152, -122.45747185523524 37.76322626066381, -122.45754141316941 37.76338731635793))",UCSF Medical Center Parnassus,500 Parnassus Avenue,2634A011,2634A011,1956,,Data collected here is only for the teaching hospital building; 13 story steel building,156,13,1,Medical,Steel,Steel Moment Frame - Space,Steel Moment Frame,concrete,Pile,,TRUE,,,,Moderate,114,137,101,,,,1956,,322x234,322x234,13',none,t-shaped floors,,,C,,2.01712E+13,Plans at DBI,4292.10103,114575.4414
90,"POLYGON ((-122.40037581413458 37.79181568697024, -122.40042461042589 37.792066572656815, -122.40052298875837 37.792054527590395, -122.40053450448711 37.792053118135854, -122.40053528112146 37.79205661763659, -122.40077284388293 37.79202973718112, -122.40077284377288 37.79202968851752, -122.40073689607874 37.791837852257814, -122.40070421282103 37.79184186768795, -122.40069066363904 37.79177421499978, -122.4005133212828 37.79179656400832, -122.4005133249596 37.79179661892291, -122.40050389628446 37.791800013449695, -122.40037581413458 37.79181568697024))",Beal Bank Building,180 Sansome Street,267016,267016,1967,,17 story steel building,241,17,1,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Space,Steel Moment Frame,concrete,Pile,,TRUE,125000,Type II - Noncombustible,100,Very High,201,206,195,,,,1967,,109x98,98x69,"12'8""",none,,2 story atrium,,D,,2.01712E+13,Plans at DBI,392.6809137,9342.148344
89,"POLYGON ((-122.40732232478732 37.788913824950406, -122.40707332864552 37.788946201969324, -122.40707220551609 37.78894553791706, -122.4070049571531 37.78895476713917, -122.40700482816001 37.78895491792552, -122.40700486019186 37.78895510395847, -122.40700324056344 37.78895531490228, -122.40700312035064 37.78895545383084, -122.40707185806117 37.789280275520454, -122.4070702889431 37.789282055560385, -122.40707866235516 37.789321388731764, -122.40708051230817 37.78932116955568, -122.40708066360394 37.789321887177415, -122.40735957853705 37.78928561870212, -122.40739428291181 37.78928156059547, -122.4073944155646 37.789281419662785, -122.40739435277132 37.78928109714329, -122.40739974590785 37.78928039527227, -122.40739986973404 37.78928026439573, -122.40732766930029 37.788939085102086, -122.40732232478732 37.788913824950406))",Grand Hyatt San Francisco,345 Stockton Street,295016,295016,1969,,38 story steel building,436,38,3,"Hotels, Visitor Services",Steel,Steel Moment Frame - Space,Steel Moment Frame,concrete,Pile,,,602630,Type I - Fire resistive,100,Moderate,99,106,90,1969,,,,,175x118,135x88,"10'3""",mezz to 2nd: 28',,,,,,2.01712E+13,Plans at DBI,458.6870097,12663.92451
88,"POLYGON ((-122.39692096404167 37.793055848780725, -122.39689227106962 37.793087038019685, -122.39695765526675 37.79341176184513, -122.396957737477 37.79341182360727, -122.39699702152389 37.79343423556037, -122.39740599240696 37.79338294731744, -122.39743462265022 37.79335179591254, -122.39736884309944 37.79302630183385, -122.39736876974071 37.793026230917455, -122.39732911152548 37.79300343848969, -122.39692096404167 37.793055848780725))",One California,1 California Street,264004,264004,1966,,32 story steel building connected to plaza,448,32,1,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Space,Steel Moment Frame,concrete and glass,Pile,,,584200,Type I - Fire resistive,100,Very High,253,258,246,1966,,,,,295x201,135x133,13',"1st 22'2""",,,,,,2.01712E+13,Plans at DBI,535.1760901,19296.57667
87,"POLYGON ((-122.41881973096731 37.77986535339814, -122.41884197624705 37.77986536804365, -122.4188642082785 37.77987862537455, -122.41886687949618 37.77988910810484, -122.41906406351876 37.77986468298807, -122.41906412343474 37.77986462884097, -122.41906239424145 37.779848198973795, -122.41954863752566 37.77978751491319, -122.41955279238431 37.779803381673396, -122.4197555158075 37.779776712192984, -122.41975557023426 37.779776665344635, -122.41975645783866 37.7797567538309, -122.41976413922382 37.77974445331199, -122.41978971443527 37.779740940265036, -122.419789767727 37.77974089343519, -122.41978679354781 37.7797246253402, -122.41978667614754 37.77972421269231, -122.41979577264527 37.77972308223769, -122.41979582707192 37.77972303538936, -122.41979137661748 37.779700479213126, -122.41978684285993 37.77967716016155, -122.41978232259476 37.77965458259123, -122.41977772955026 37.77963129784964, -122.4197677536025 37.7796325363505, -122.41970962453154 37.77934339478919, -122.41972915813234 37.77934116703376, -122.41972691582657 37.77933146770309, -122.41973945196749 37.77931603210519, -122.41975183290661 37.7793148427626, -122.41975354318613 37.77931467792766, -122.41975219408529 37.779308038102606, -122.41978609879685 37.77930364411058, -122.41978617091719 37.77930357894981, -122.41974131898701 37.77908569127165, -122.41970792243971 37.77909001749751, -122.41970702870792 37.77908561969365, -122.41969182896437 37.77908735510726, -122.41967401020055 37.77907658912992, -122.41967219339276 37.779065384146136, -122.41965899807207 37.779067132879035, -122.41965421151477 37.779067767771124, -122.41959588013083 37.778777661526476, -122.41960406081513 37.77877664242673, -122.41960411845987 37.77877658831631, -122.41960251390532 37.77876845482658, -122.41959562903989 37.778732011777606, -122.41958772017755 37.77869346664095, -122.41958602824454 37.77868489568113, -122.41957744128011 37.7786859664559, -122.41957424100548 37.77867004089285, -122.41955780442467 37.77867171622114, -122.41953497476862 37.77865786403628, -122.41953202086643 37.778656742352915, -122.41952928288376 37.77864446910278, -122.41932760426262 37.778669930731596, -122.41932754328263 37.778669987599784, -122.41932956979745 37.77868337822993, -122.41884557936427 37.778747353038646, -122.41884161781263 37.77873289531396, -122.41863465780175 37.778759324902815, -122.41863459802599 37.77875938445472, -122.4186352651952 37.778772683663945, -122.41862035177213 37.77879099486228, -122.41860416439371 37.77879379162066, -122.41860410345963 37.778793850290164, -122.41868334137425 37.779191105704804, -122.4186669716182 37.77919313129346, -122.41867265805764 37.77922209847357, -122.41864205993917 37.77922597150181, -122.41864198457586 37.7792260430232, -122.41867724921931 37.7794013523113, -122.41867848428363 37.77940758124579, -122.41868599365705 37.77944483067592, -122.41871564344848 37.77944107761304, -122.4187208984557 37.77946784743627, -122.41873885743341 37.77946562744878, -122.41881973096731 37.77986535339814))",San Francisco City Hall,1 Dr Carlton B Goodlett Place,787001,787001,1915,,base isolated with elastomeric bearings; RC shear wall; dimension of dome: 90 ft; dome is reinforced with steel trusses,300,5,0,"Office (Management, Information, Professional Services)",RC,RC Shear Wall,RC Shear Wall,stone,Pile,TRUE,TRUE,500000,,,Moderate,212,222,204,,,,1915,,408x309,,16',,three big atrium,,,D,,2.01712E+13,BORP Reports,1488.441245,120053.1745
83,"POLYGON ((-122.39991394809473 37.79093260197729, -122.39962632599811 37.79096869284757, -122.39962634155589 37.79096876829862, -122.39966516929883 37.79115731862137, -122.40034988073305 37.79107169932938, -122.40034987543714 37.79107162551546, -122.40031107569199 37.79088277122854, -122.40010227932032 37.790908971870785, -122.40009083259372 37.790847964107726, -122.40011754192263 37.79084447678895, -122.40011753306015 37.790844396723976, -122.40010139601762 37.7907666506518, -122.399854046175 37.790797455479854, -122.3998540596009 37.790797536372516, -122.39987061901545 37.790876709495066, -122.39990270014297 37.79087252194666, -122.39990449308722 37.79088210086637, -122.39991394809473 37.79093260197729))",One Bush Plaza,1 Bush Street,290011,290011,1957,,19 story building with dual structural system - service wing includes steel concentrically braced frames along the full height,309,19,2,"Office (Management, Information, Professional Services)",Mixed: RC and Steel,Dual: RC Shear Wall and Steel Moment Frame,RC Shear Wall,glass,Pile,TRUE,,52500,Type I - Fire resistive,100,Very High,226,239,210,,,,1957,,officewing 201x69; service wing 70x53,,"13'8""",,2 story atrium,,,,,2.01712E+13,BORP Reports,676.9301258,17275.31564
82,"POLYGON ((-122.40444862298958 37.79221371807079, -122.40445030329948 37.792221493621476, -122.40451198733287 37.79251780432019, -122.4049266059616 37.792463928381316, -122.40494743068511 37.792461325404794, -122.40487949432058 37.7921556288541, -122.40482351187174 37.792163176060605, -122.40444862298958 37.79221371807079))",International Building,601 California Street,258032,258032,1961,,22 story building with shear wall and moment frame (some RC some embedded steel),320,22,1,"Office (Management, Information, Professional Services)",Mixed: RC and Steel,Dual: RC Shear Wall and Steel Moment Frame,RC Shear Wall,concrete and glass,Pile,TRUE,,25700,Type I - Fire resistive,100,Very Low,70,86,60,,,,1961,,343x189,,"13'1""",Mezz 18'; 4th 22',,,,,down to bedrock,2.01712E+13,BORP Reports,479.0356226,14287.74736
81,"POLYGON ((-122.39906036707285 37.796920440072476, -122.3992980954508 37.79689177130237, -122.3992926098146 37.796872897301476, -122.39931306820692 37.79687039226755, -122.3993093101325 37.796851745484545, -122.39933957964556 37.79684709525429, -122.39929877556926 37.79665764496719, -122.39927078826874 37.79666120401486, -122.39926748311287 37.796644856131195, -122.39924621333137 37.796647384139895, -122.39924412425734 37.79662742895301, -122.39900380345459 37.79665705861148, -122.39900688203721 37.79667582899732, -122.39898415728929 37.796678530891334, -122.39898939284569 37.79670290631252, -122.39896408765779 37.79670618237255, -122.3990018581129 37.79689632688001, -122.39902969552018 37.796890677702876, -122.39903269702032 37.79690470175597, -122.39905582734735 37.79690186895526, -122.39906036707285 37.796920440072476))",Buckelew House [Golden Gateway Center],155 Jackson Street,199022,0199022_NW,1962,,25 story RC building with 3 story base plaza connected to Macondray; base retrofitted,252,25,1,"Office (Management, Information, Professional Services)",RC,Dual: RC Shear Wall and RC Moment Frame,RC Shear Wall,concrete,Pile,TRUE,,162500,Type I - Fire resistive,15,Very High,175,181,168,,,,1962,,,95x95,10',"1st 20'10""",,,,,drilled cast-in-place concrete caissons seated in bedrock,2.01712E+13,BORP Reports,393.4399636,8990.431339
80,"POLYGON ((-122.39834745706207 37.79651279247987, -122.39858700245377 37.7964828278711, -122.39858308544618 37.79646506410767, -122.39860470409059 37.7964623674821, -122.39860035067 37.796441571866474, -122.39862536855433 37.79643963249694, -122.39858472807715 37.79624939349248, -122.39856070138258 37.79625216313197, -122.39855542473516 37.796227017819774, -122.39853238283209 37.796230414160625, -122.39852939611278 37.79621705224619, -122.39829093955511 37.79624990382356, -122.39829613615018 37.796265257890255, -122.39827218800208 37.79626879043205, -122.39827624314604 37.796290494773764, -122.39825265014693 37.79629379268699, -122.39829071131396 37.79648370471806, -122.39831176584694 37.79648057653599, -122.39831513015814 37.79649849159596, -122.39834281691164 37.79649503854853, -122.39834745706207 37.79651279247987))",Macondray House [Golden Gateway Center],405 Davis Court,199022,0199022_SE,1962,,25 story RC building with 3 story base plaza connected to Buckelew; base retrofitted,252,25,1,"Office (Management, Information, Professional Services)",RC,Dual: RC Shear Wall and RC Moment Frame,RC Shear Wall,concrete,Pile,TRUE,,172000,Type I - Fire resistive,15,Very High,198,203,195,,,,1962,,,95x95,10',"1st 20'10""",,,,,drilled cast-in-place concrete caissons seated in bedrock,2.01712E+13,BORP Reports,391.3388031,8989.076627
79,"POLYGON ((-122.39911667277312 37.79205266145669, -122.39909687980426 37.79205515666403, -122.39908515819447 37.791992744661705, -122.39908513753714 37.791992691822976, -122.39861981854231 37.792050096951805, -122.39862712004691 37.79208493553513, -122.3986724837795 37.7922952938049, -122.3986725088852 37.79229534296724, -122.39869369167512 37.79228652959706, -122.3991315873405 37.792239960450026, -122.39912848459156 37.79222343626051, -122.39914707199944 37.792221092042425, -122.39911667277312 37.79205266145669))",111 Pine Street,111 Pine Street,266001,266001,1963,,19 story RC flat slab supported by concrete columns,252,19,1,"Office (Management, Information, Professional Services)",RC,,Unknown,concrete and glass,Pile,TRUE,,298000,Type I - Fire resistive,100,Very High,242,247,234,,,,1963,,140x90,,,,,,,,,2.01712E+13,BORP Reports,463.4987377,12469.01688
78,"POLYGON ((-122.40465757540316 37.79137841112791, -122.40468920553484 37.79153466778092, -122.4053555710144 37.79145036024649, -122.40535563514369 37.79145029252052, -122.40531119113513 37.791229893845816, -122.40528189538216 37.79108198538864, -122.40528136355698 37.79107944895969, -122.40524600498121 37.79108380628752, -122.40511264166544 37.791104602692016, -122.40512915454977 37.79119196522727, -122.40515487606432 37.79118990492532, -122.40516451952588 37.79125044302709, -122.4051074432307 37.79125844063665, -122.40510742230968 37.79125846620859, -122.40507675663864 37.791261339967726, -122.40506964572137 37.791256310739534, -122.40506029660212 37.791208127996214, -122.40466129735525 37.79126256241956, -122.40467038275553 37.79130370557881, -122.4046463499916 37.791306080054966, -122.40465757540316 37.79137841112791))",PacBell - Pine Street Building,555 Pine Street,270039,270039,1966,,17 story; RC perimeter shear wall encasing steel frames,316,17,1,"Office (Management, Information, Professional Services)",Mixed: RC and Steel,Dual: RC Shear Wall and Steel Moment Frame,RC Shear Wall,concrete,,TRUE,,308416,Type I - Fire resistive,100,Very Low,100,122,84,,,,1966,,195x100,,,,,,,,,2.01712E+13,BORP Reports,712.7500156,20585.01592
77,"POLYGON ((-122.40145797488334 37.79268237142618, -122.40144073832164 37.792684561746434, -122.40144007265938 37.7926812289882, -122.40116469127497 37.79271589686116, -122.40116468489705 37.792715958246305, -122.40120882818572 37.79293690201237, -122.401484195773 37.79290224058164, -122.4014842078959 37.79290218180743, -122.40148328949935 37.79289758331894, -122.40150398978349 37.792894946011636, -122.40150400188323 37.7928948863366, -122.40145797488334 37.79268237142618))",425 California Street,425 California Street,260001,260001,1968,,28 story WSMF,321,28,1,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Space,Steel Moment Frame,glass,Pile,TRUE,,214000,Type I - Fire resistive,100,Very High,185,193,182,,,,1968,,88x88,,"12'6""",1st 20',,none,,,,2.01712E+13,BORP Reports,335.1934857,7000.990313
76,"POLYGON ((-122.39600093760991 37.79255006465021, -122.3960885766341 37.792619158879816, -122.39611150714295 37.79263723521299, -122.39647310963933 37.79292465112775, -122.39681074495735 37.79265756121992, -122.39680759423 37.79265492179158, -122.39713539511935 37.79239598373635, -122.39713535555643 37.792395946522085, -122.39713110683178 37.79239246951967, -122.39713211220261 37.792391681908335, -122.39713207595318 37.79239164103589, -122.39712278474761 37.7923842005311, -122.39713218853346 37.79237684495954, -122.39713214883245 37.792376802340186, -122.39711308947074 37.792361477497266, -122.3971061243972 37.792366940042044, -122.39708808640634 37.79235243148061, -122.39709386529341 37.79234788021919, -122.39709382561546 37.79234783850068, -122.39707488475052 37.79233261718687, -122.39706959565534 37.7923367811579, -122.39705033863311 37.79232131979758, -122.39705643075314 37.792316538196005, -122.39705639332256 37.79231649554014, -122.39703813191362 37.792301820237014, -122.39703201110736 37.79230663474273, -122.39701325217165 37.792291554685974, -122.39701880646942 37.792287191789484, -122.39701876681451 37.79228715097178, -122.39699955913495 37.792271708636235, -122.39699337241152 37.792276565656124, -122.39697416640448 37.79226114401745, -122.39697941782396 37.79225701670518, -122.39697937698787 37.79225697410406, -122.39696063454329 37.792241916304114, -122.39695510698363 37.79224625894115, -122.39693713972449 37.79223180509439, -122.39694299542018 37.792227193124724, -122.39694295574238 37.792227151406166, -122.3969238628474 37.792211800036654, -122.39691695669593 37.79221721295714, -122.39691228812696 37.792213393031766, -122.3969102288875 37.792215159186256, -122.3969059213996 37.79221160381482, -122.39690193042817 37.792214748354425, -122.39681254910371 37.79214476801884, -122.39678808048204 37.79212560807409, -122.39680192152521 37.79211417346848, -122.39680188652633 37.79211413708184, -122.39646402131693 37.79184738635689, -122.39634827734832 37.79194044492085, -122.39635877675839 37.7919490421331, -122.39613952859297 37.792119751476406, -122.39633569726708 37.792281367701776, -122.39600093760991 37.79255006465021), (-122.3968902830504 37.79239012105145, -122.3968683306196 37.79237183807634, -122.39688373312562 37.792359599697605, -122.39690675950183 37.792377512118826, -122.39689032965445 37.79239016716468, -122.3968902830504 37.79239012105145), (-122.39629069676303 37.79258370474224, -122.39628686748725 37.79258677906896, -122.39624712686684 37.79255633453536, -122.39623281645898 37.792545660028175, -122.39624124947983 37.79253902038102, -122.3962417503478 37.792539422376784, -122.3963262029188 37.79247324019221, -122.39632617509915 37.79247321810934, -122.39632551537484 37.79247268799321, -122.3963769685209 37.79243218293045, -122.396377927933 37.792432974984656, -122.39640537323896 37.79241034129216, -122.39640534884788 37.792410320055396, -122.396405054138 37.792410075160035, -122.39644981978918 37.79237483434139, -122.39666216379882 37.792535650059634, -122.3967848656067 37.79243815707854, -122.39680578575258 37.79245528510158, -122.3967031098764 37.79253663163414, -122.39662840200208 37.79259709868823, -122.39654475114943 37.79263010366897, -122.39654403426879 37.792630626185364, -122.39654309307666 37.792629880702336, -122.39654304549853 37.79262984091316, -122.39644269653535 37.792706314790564, -122.39629069676303 37.79258370474224))",PG&E Headquarters,245 Market Street,3711019,3711019,1923,,"retrofit collection of older, seismically separated buildings, up to 19 stories",320,19,1,"Office (Management, Information, Professional Services)",RC,Dual: RC Shear Wall and RC Moment Frame,RC Shear Wall,terra cotta,Pile,TRUE,,190000,Type I - Fire resistive,100,Very High,262,267,259,,,,1923,,276x276,,13',,"C-shaped, multiple buildings",tall 1st story bays,,,,2.01712E+13,BORP Reports,1634.101557,55943.56053
